reported_date,testing_start_date,testing_end_date,board_IDs,school_boards,school_ID,testing_sites
2021-05-07,2021-05-12,2021-05-14,B66206,Limestone District School Board,946494,Sydenham High School
2021-05-07,2021-05-12,,B67032,London District Catholic School Board,695734,Catholic Central High School
2021-05-07,2021-05-12,,B67156,Niagara Catholic District School Board,703796,Denis Morris Catholic High School
2021-05-07,2021-05-09,,B66125,Peel District School Board,27655,Carberry Public School
2021-05-07,2021-05-09,,B66125,Peel District School Board,552259,Thomas Street Middle School
2021-05-07,2021-05-08,,B67067,Peterborough Victoria Northumberland and Clarington Catholic District School Board,851116,St. Stephen Catholic Secondary School
2021-05-07,2021-05-08,,B66214,Renfrew County District School Board,932434,Opeongo High School
2021-05-07,2021-05-12,,B67091,Simcoe Muskoka Catholic District School Board,843342,St Peter the Apostle School
2021-05-07,2021-05-10,,B28070,Superior-Greenstone District School Board,940666,Lake Superior High School
2021-05-07,2021-05-11,,B28070,Superior-Greenstone District School Board,924784,Marathon High School
2021-05-07,2021-05-11,,B66044,Thames Valley District School Board,942162,Sir Wilfrid Laurier Secondary School
2021-05-07,2021-05-13,,B67059,Toronto Catholic District School Board,731820,Michael Power/St Joseph High School
2021-05-07,2021-05-14,,B66052,Toronto District School Board,937266,R H King Academy
2021-05-07,2021-05-08,,B66192,Upper Canada District School Board,942987,South Grenville District High School
2021-05-07,2021-05-08,,B66117,Upper Grand District School Board,918679,John F Ross Collegiate and Vocational Institute
2021-05-07,2021-05-09,,B66117,Upper Grand District School Board,932450,Orangeville District Secondary School
2021-05-07,2021-05-12,,B66117,Upper Grand District School Board,931284,Norwell District Secondary School
2021-05-07,2021-05-08,,B66176,Waterloo Region District School Board,936480,Preston High School
2021-05-07,2021-05-13,,B67130,Wellington Catholic District School Board,689661,Bishop Macdonell Catholic Secondary School
2021-05-07,2021-05-08,,B67024,Windsor-Essex Catholic District School Board,806188,St Joseph Catholic School
2021-05-14,2021-05-15,,B66010,Avon Maitland District School Board,899569,Central Huron Secondary School
2021-05-14,2021-05-20,,B66001,Bluewater District School Board,915556,John Diefenbaker Senior School
2021-05-14,2021-05-15,,B67008,Bruce-Grey Catholic District School Board,751464,St Joseph's School
2021-05-14,2021-05-15,,B67172,Catholic District School Board of Eastern Ontario,767431,St. Joseph Intermediate Catholic School
2021-05-14,2021-05-20,,B67318,Conseil scolaire catholique MonAvenir,846041,�SC P�re-Philippe-Lamarche
2021-05-14,2021-05-15,,B67300,Conseil scolaire catholique Providence,708054,�cole �l�mentaire catholique Georges P Vanier
2021-05-14,2021-05-15,,B66303,Conseil scolaire Viamonde,165204,�cole interm�diaire Franco-Niagara
2021-05-14,2021-05-20,,B66303,Conseil scolaire Viamonde,909858,�cole secondaire Franco-Jeunesse
